"","Longitude","Latitude","TimeSinceLogging","TimeSinceWildfire","TimeSinceHazardReduction","Severity","Total","Tree","CoarseWoodyDebris","DeadTree","Understorey","Litter"
"1",150.09155,-35.632661,53,43,"10-35","Low",-28.795073421977,-26.2722937475387,5.40785345804406,0,0.194366867518,-8.125
"2",150.095223,-35.636419,14,43,"10-35","Low",-4.98863789949,-0.939030816550478,-1.79560708293955,0,0,-2.254
"3",150.164973,-35.644874,17,56,"10-35","Moderate",-98.0237535952508,-52.2583265384416,-20.6110407675305,-0.383728068,-13.2356582212793,-11.535
"4",150.16239118,-35.644343664,48,55,"35+","High",5.03973248064298,5.12782516170829,4.6010515265227,3.10789437424,-0.122038581828629,-7.675
"5",150.102145,-35.804633,15,52,"10-35","High",-44.4432464590841,-10.4222756879323,-24.766944645306,6.179789908,-8.72881603384569,-6.705
"6",150.105606,-35.80363,41,52,"10-35","High",-88.1512343167123,-40.5123536863495,-22.4002432832314,-0.12691571424,-16.4167216328917,-8.695
"7",150.12753,-35.784941,5,17,"10-35","High",-45.1358968406088,-3.13325785759194,-38.4331012201036,0,-0.614537762913261,-2.955
"8",150.120316,-35.785741,31,17,"35+","High",0.175641420898003,15.4003630444136,-7.00240845821374,-0.696669588,-0.144643577301953,-7.381
"9",150.087552,-35.81657,4,11,"10-35","High",-24.6428680571901,-4.36944837376973,-19.4809186560064,0,-0.617501027413997,-0.175
"10",150.09093,-35.81759,13,26,"35+","High",-54.58786878604,-42.0226696783618,-9.27851751105908,1.700086992,-3.06976858861953,-1.917
"11",150.080153,-35.630566,53,81,"10-35","High",-73.48951624991,-59.4996797440619,0.50826411432829,0,-9.22710062017657,-5.271
"12",150.115393,-35.720673,3,8,"<10","High",-101.074805416138,-12.5087106527782,-80.8256654459839,1.9329583,-8.94338761737579,-0.73
"13",150.153605,-35.764807,14,26,"10-35","High",-33.9748621773418,-28.3169328960484,0.0978770806870302,0.495659648,-0.0164660099805631,-6.235
"14",150.144206,-35.757782,28,26,"10-35","High",-26.293563799847,-21.5757176415235,1.9235008711304,0.0582262521599999,-0.0545732816139239,-6.645
"15",150.14376218,-35.763335196,12,11,"10-35","High",-22.3110128160512,7.87339565042627,-22.3885828226624,-0.065458286554879,-0.811367357260147,-6.919
"16",150.120564,-35.780074,38,17,"10-35","High",-17.4176387238746,-13.1459472324421,0.59791636018767,4.535306216,-0.299914067620287,-9.105
"17",150.116715,-35.719835,19,8,"<10","Moderate",-14.9241130262282,8.48909878704804,-5.70913877571032,-0.22892483168,-15.2551482058859,-2.22
"18",150.42763098,-35.114926031,30,7,"10-35","Moderate",-52.827883039741,-46.3837853170658,-0.8022944996407,-0.47083288,-0.698970343034361,-4.472
"19",150.251259,-35.503863,65,39,"35+","High",-34.408774395441,-23.34732172471,-6.34363771287501,0,-0.707814957855557,-4.01
"20",150.310711,-35.466276,59,26,"10-35","High",-49.838648467699,-25.3336190116807,-15.9282206542012,0.65044485504,-2.65025365685676,-6.577
